Energy,n,k
250.0,0.003303244953983127,0.0009145989565899765
284.0,0.0015322530854948715,0.0007480205165937281
284.2,0.0012419179426109437,0.000767549900359002
284.4,0.0012868263957041776,0.0010895866471702855
285.0,0.001631727638901519,0.003484802623859036
286.0,0.0022553820450684457,0.0009325129925369935
286.5,0.00162124945779228,0.0007754913281246209
287.0,0.0015523523357765091,0.001082718759032937
287.7,0.0015239227364026299,0.0015351237866229397
288.0,0.0015806502353817452,0.00162996841284066
288.4,0.0016562869006872252,0.001756427914464275
288.6,0.0016941052333399758,0.0018196576652761004
